,original,clase
399,"Ha estat una trobada cordial i constructiva amb el President a l’exili, compartint anàlisis sobre la política nacional i internacional, i amb la voluntat de promoure lluites compartides  per assolir l’autodeterminació, l’amnistia i la independència. https://t.co/0kOsjqlOKw",presidencia
400,"??️ A partir de las 11:30h, @pablocasado_ atiende a los medios de comunicación después de visitar las zonas afectadas por los incendios en Ávila. 

?? Puedes seguirlo en directo en nuestras redes sociales o en https://t.co/tx7WSWYHvg. https://t.co/yg9j0w0y9W",interior
401,"El canvi de vent de la tarda ha obligat a #bomberscat a reubicar vehicles i a variar la ruta dels #maer que treballen a #IFCastellvideRosanes. Incendi actiu. Ara mateix, 58 ?? i 11 ?? Segons @agentsruralscat han cremat ja 126 has, entre Martorell i Castellví de Rosanes https://t.co/NXjXDmsMNp",interior
402,Pero lo realmente grave es que un albañil le suelte un piropo a una señora desde el andamio... https://t.co/OxOV7SGpb8,igualtat i feminismes
403,"Buenos días, hoy os dejo una recomendación cultural para este verano: el disco 'Voice', de la gran Hiromi Uehara.

Gracias a @_infoLibre, ¡espero que os guste! ????️
https://t.co/hTYA1OGfEv",cultura
404,Moltes felicitats!!! Ja tenim el primer medallista català a #Tokyo2020 https://t.co/lpFEnbN7Yq,salut
405,Aquí o te llamas Plus Ultra y tienes intereses en el Gobierno de Sánchez o no recibes ni un solo euro en ayudas. https://t.co/zpbDjQ28TB,drets socials
406,"Es confirma l’assassinat masclista d’una dona de 30 anys a Sant Vicenç de Castellet (Bages). Malauradament, aquest any ja són 32 les dones assassinades. Hem d’avançar en la lluita contra aquesta xacra. Tot el meu suport i escalf a la filla i als familiars de la víctima. https://t.co/SeRRzWtlJo",igualtat i feminismes
407,"Acabo de mantener una fructífera conversación con el presidente Joe Biden, @POTUS, en la que hemos abordado varios temas de interés común, en especial, la situación en Afganistán y la colaboración entre ambos gobiernos en la evacuación de ciudadanos y ciudadanas desde ese país. https://t.co/wZ3ChcJzK0",presidencia
408,"??️@salvadorilla a @maticatradio:

??És molt important que es reprengui la taula del diàleg amb expectatives realistes.

??El diàleg entre catalans s'ha de produir perquè no hi ha un altre camí. Hem de trobar mínims comuns denominadors des del respecte. 

#PSC/❤️ https://t.co/QZQE8LxWjG",presidencia
409,"A todas las mujeres del mundo nos toca exigir al conjunto de la UE responsabilidad, acogida digna para mujeres y niñas afganas y una política exterior distinta que ponga los derechos humanos en el centro. Primer paso: abrir puertas y ofrecer asilo ya #Afganistan",immigracio
411,"??️??@J_Zaragoza_ al PP:

??Todas las comparecencias que piden obvian que el Gobierno se relaciona con todas las CCAA, y solamente piden comparecencias de temas relacionados con Cataluña. 

??️Porque ustedes solo buscan el enfrentamiento, no solucionar el problema.

#PSC/❤️ https://t.co/5Y6xSlLsay",presidencia
412,"Doncs ja ho tindrem! A casa tots amb pauta completa! 
I com les altres vegades un procés ràpid, ben organitzat, eficient i perfecte!!!
No deixeu de vacunar-vos, que #laCovidNoFaVacances ???? @salutcat https://t.co/PluQVrhFXG",salut
413,"El Gobierno de Sánchez te mintió en la pandemia y siguen mintiendo con el Mar Menor.

https://t.co/pAn4ZoPdur",presidencia
414,"?? COL·LABORACIÓ CIUTADANA
Busquem el Martín Ezequiel Álvarez Giaccio com a persona relacionada amb la mort del seu fill a Barcelona.
Si teniu informació truqueu al @112 https://t.co/jLpWlQrhlR",justicia
415,"El president @KRLS Puigdemont, a l'acte de Signatura de la Carta de Compromís dels Consells Locals, a El Soler:

?? ""L'autodeterminació és la guia que ens ensenya el camí de l'éxit. Es guanya cada dia. Ho sabem fer perquè ja ho hem fet."" https://t.co/FcqE3OpLKe",presidencia
416,"‼️El ministerio del interior no puede ni debe cometer una ilegalidad. 

Cumplir la ley para proteger los derechos humanos es la única vía posible. https://t.co/1JSjMyDM3h",justicia
417,"⚡️El mercat energètic espanyol és una estafa. Un model basat en els grans oligopolis energètics i en mans del capitalisme més ferotge. I on les portes giratòries són ben presents, per cert. 
??Cal donar-li el tomb: les persones al centre, preus justos i lliure d’oligopolis. https://t.co/Kle26CVdnL",accio climatica alimentacio i agenda rural
418,"@CanetEsther @NouLledoners @Adrian__Sas @JosantAbsolucio És clar,Esther.Clar que tens cognom i no és independentista.Era una manera de parlar i si em vols entendre estic segura que ho entens. L’absolució és la que vull no només pels que esmentes, la vull pels més de 3.300. I la independència, també, perquè és el que ens cal i vam votar",presidencia
419,"?? Hoy el director de la Inspección de Trabajo, @Hector_Illueca_, explica las actuaciones específicas que se pondrán en marcha para garantizar que se cumpla la ley que protege los derechos laborales de las personas dedicadas al reparto en plataformas.

https://t.co/esku4TdWz3",empresa i treball
420,"Traducció: ""sí, senyors d'AENA, nosaltres també estem a favor de destruir el Delta del Llobregat, que la contaminació i les emissions augmentin de manera brutal i de gentrificar BCN, però deixeu-nos-ho a fer nosaltres"". https://t.co/XjbBgkADdL",accio climatica alimentacio i agenda rural
421,"Honor al pueblo tlaxalteca que hizo posible la Conquista de Tenochitlán y el fin de la esclavitud, los sacrificios humanos, canibalismo y muros de cráneos de los aztecas. Somos hijos de esta alianza con España, desde México, la Nueva España, hasta el sur. Hispanidad. https://t.co/0Yhu4q04XX",justicia
422,"VOX denuncia ante Fiscalía al grupo separatista Acció Per La Independència por su ataque a la cripta de Montserrat.

Por delitos contra los sentimientos religiosos, ultraje a la bandera, odio y daños al patrimonio en el ataque contra la Cripta de los Tercios de Requetés.",justicia
423,"‼️ La @AndaluciaJunta oculta un informe interno que da la razón a @AndaluciaVOX.

PP y Cs engañan a los andaluces con la Agencia Trade. Su cobardía les impide acabar con la administración paralela del PSOE.

¡Exigimos eliminar el tinglado socialista!

https://t.co/pFHk3BztPI",presidencia
424,"Esta mañana en la carpa en el Distrito de Sants-Montjuïc escuchando las propuestas de los vecinos para conocer qué #Barcelona quieren

✏️ Escuchando sus sugerencias para mejorar los barrios de cada Distrito https://t.co/FZ4V7LHaIq",vicepresidencia i politiques digitals i territori
425,"?? @sergio_macian sobre la indefensión jurídica que se vive en Cataluña: 

➡️ ""Los informes de la Alta Inspección del Estado son remitidos a la Generalitat, por tanto el informe se queda en una vía muerta"" https://t.co/kQ8Etmau2Y",justicia
426,"Al juliol, el Parlament va aprovar la nostra proposta per desprivatitzar el 061 i el transport sanitari ??

Som a 26 d'agost i el Conseller de Salut es nega a complir el mandat parlamentari.

Demanem que comparegui i expliqui els motius a la ciutadania?? 
https://t.co/DgGkRIp2a1 https://t.co/FyKiEq58Nt",salut
427,"Voces como las de Javier Ruiz son más necesarias que nunca. Aunque algunos no lo quieran admitir, en este país hay un problema de LGTBIfobia y los discursos de odio que la promueven y la amparan no deben tener espacio mediático ni caben en nuestra democracia. https://t.co/X74SBoVbEy",igualtat i feminismes
428,@PabloEchenique @AGinesPodium @lilcabeSa Qué brutalidad ??,autopromocio
429,??️ @lciuro al @maticatradio sobre la taula de diàleg: “la part catalana té molt clar el que anirem a negociar: amnistia i autodeterminació. Cal posar l’accent en saber quina oferta té la part espanyola per Catalunya”. https://t.co/ymQiQWMizL,presidencia
430,"Creemos pensiones sostenibles sin engaños y con empleo.

Pagarlas con impuestos cuando la pensión media es mayor que el sueldo medio aboca a recortes a babyboomers y a la quiebra del sistema para los jóvenes.

Lo analizamos con los exministros Báñez, Aparicio, Pimentel y Castillo https://t.co/lWciQEXB2R",drets socials
431,"⚡Perquè per una lluita complerta i constant, per les lluites compartides, ens cal ser moltes??????, sumar i ser capaces de treure el màxim rendiment a qualsevol altaveu o acció. 
I perquè les dones hem de tenir-hi un paper important, jo em faig militant d'ERC. Vens?
#AraERC https://t.co/OomLvWY1Vf",igualtat i feminismes
432,"?? @Jorgebuxade ""No debe concederse el asilo a nadie que pueda constituir una amenaza a la seguridad nacional o al orden público. Nuestro primer deber moral es proteger la convivencia en nuestros barrios y los derechos de los españoles"". https://t.co/gjXTpm18q0",immigracio
433,Ya sería mala suerte que @eljueves se convierta hoy en la revista más leída. ?? https://t.co/Rlfukv660T,autopromocio
434,Com a diputat m’afegeixo a la crida de la @mhp_LauraBorras exigint als caps d’estat de la Unió Europea i dels Estats Units el rescat de les diputades afganeses i les seves famílies. https://t.co/vzbaTBPq1Q,accio exterior i govern obert
435,"A los hechos que ya conocíamos se han sumado, en este último año, revelaciones sobre nuevas cuentas ocultas en paraísos fiscales, fortunas de dudoso origen, posibles vínculos con el tráfico de armas... Escándalo tras escándalo de corrupción e impunidad.",accio exterior i govern obert
436,"Lunes 23 de agosto.

El Gobierno de Ayuso mantiene desde hace casi un año a más de 4000 personas, entre ellos 1.800 niños y niñas, sin suministro eléctrico. 

Incumplen el Pacto Regional, vulneran Derechos Humanos. 

Es indecente.
 https://t.co/GpQDIsupjl",empresa i treball
437,Sequía.- ERC y Bildu exigen la comparecencia en el Congreso del presidente de Iberdrola por el vaciamiento de pantanos https://t.co/LKxXEuNjGW via @EpConsumo,empresa i treball
438,"Traballamos para acabar co abuso das eléctricas. 

?? A luz é un ben necesario que debe ter prezos razoables. Por iso tamén propoñemos crear unha empresa pública de enerxía que abarate a factura.

?? https://t.co/WkYguy1fua https://t.co/DiISWO2jQ9",empresa i treball
439,"Sánchez ha estado todo el mes de agosto escondido en la oscuridad para no hablar, entre otras cosas, de la factura de la luz. Tiene que dar la cara en el Congreso y explicar sus planes para España. 

Cada día está más cerca un gobierno de @populares. https://t.co/ojAX11uGiV",empresa i treball
440,"Mentres altres van fent promeses, la ministra @Yolanda_Diaz_ continua treballant i demostrant que protegir a les persones no només no està renyit amb millorar l'economia, sinó que l'ajuda i potencia https://t.co/9yP1OH51WH",economia i hisenda
441,"Vull expressar el meu condol pel traspàs de Xavier Mercadé, gran fotoperiodista musical del país. Ha marxat massa d’hora, i malgrat tot, ens ha deixat un llegat fotogràfic magistral. 

Una abraçada a tota la família i amics, i també als companys d’@enderrock. https://t.co/4CyVIftOD3",cultura
442,"""Serà difícil perquè l'Estat espanyol no té cap interès a reconèixer la nostra independència. Haurem de guanyar a través del vot de la gent i un procés ??️ democràtic. Com més ens esforcem i ho intentem, més fàcil serà convèncer a més gent"", explica @junqueras",presidencia
443,"Avui el #CMin ha aprovat una línia de 7.000M€ en ajudes directes a empreses i autònoms que es transferiran a les CCAA i que la Generalitat haurà de gestionar.

Una ajuda necessària al teixit productiu català, un dels que més està patint en aquests moments. https://t.co/OUAjoB1Llh",empresa i treball
444,"Visito #JuanGil en #Jumilla en plena vendimia para agradecer el esfuerzo del sector vitivinícola en la pandemia para mantener 200.000 empleos y la #MarcaEspaña fuera.

Hay que bajar impuestos, dar flexibilidad laboral y bajar la factura de la luz sacando los costes no energéticos https://t.co/XsqX9AzVDu",accio climatica alimentacio i agenda rural
445,"El Mar Menor ha sido contaminado y maltratado durante décadas como consecuencia de la peor alianza entre los gobiernos del PP en la Región de Murcia, el agronegocio y la especulación urbanística.

Entrevista a @juralde, coordinador de @alianzaverde_ ??
https://t.co/SIohxk0EUg",accio climatica alimentacio i agenda rural
446,Todo mi apoyo y solidaridad para el agente de la Guardia Civil herido en Ceuta. Para él y para todos los agentes que trabajan sin medios suficientes y olvidados por el Gobierno de Sánchez. https://t.co/V56wU3T18k,interior
447,"Solo VOX está defendiendo los derechos fundamentales, frente al Estado de Alarma y el pasaporte covid.

Todos los demás partidos están dispuestos a atropellar las libertades.

Los tribunales nos dan la razón … por eso se empeñan en controlar a los jueces
https://t.co/GXkdpS3bRg",drets socials
448,"Bon dia per a recordar l'acte de suport als CDR detinguts el 23S, amb la @LauraBorras i la Consellera @lciuro.

 Sempre amb vosaltres companys/es, tots som CDR ! https://t.co/wzwU0r2jwf",presidencia
449,"La manada de Zaragoza.

Las televisiones no harán programas especiales, no veremos sus caras y la izquierda no hará manifestaciones porque no son españoles. 

¡Expulsión y que cumplan la condena en su país! https://t.co/uoijHltXNk",immigracio
450,"La destrucción ecosistémica del Mar Menor tiene culpables: los pelotazos urbanísticos, el agronegocio contaminante y los gobiernos del PP que se compran.

Gran trabajo de @podemosmurcia para intentar salvar el Mar Menor y el modo de vida de sus vecin@s. #MarMenorParqueRegional https://t.co/pEyDhH3kMZ",accio climatica alimentacio i agenda rural
451,"Això no ha d’anar de nou Estatut, sinó d’un nou Estat. #Catalunya #Independencia https://t.co/j9t1xMv7Gv",presidencia
452,"En el dia Internacional en Commemoració i Homenatge a les Víctimes del Terrorisme, des de Junts volem mostrar el nostre suport i afecte a les persones que han patit aquesta barbàrie. 

#UNiteforVictimsofTerrorism #VictimsofTerrorism https://t.co/Tvcn64lht6",interior
453,"Ada Colau: ""Suena al pelotazo de toda la vida y eso ya lo hemos vivido. 
En pandemia ya hemos visto que la excesiva dependencia del turismo nos hace vulnerables.
Hay que apostar por una economía del s. XXI: ciencia, tecnología y diversificación""
????https://t.co/4XFwYPMulM https://t.co/3R8MoVoM52",empresa i treball
454,"Per celebrar el #Llibrestiu, demà Oriol @Junqueras signarà i presentarà #ContraLAdversitat!

✍️ Firma de llibres
?? 12.30 h a @MuntanyaLlibres

?? Presentació amb l'autor, acompanyat d'@emparmoliner
?? 19.30 h a Espai @AbacusCoop
?? Reserves: https://t.co/Shhhpwd3D0 https://t.co/0EIVieafJH",autopromocio
455,"Informe de Evaluación Global de Naciones Unidas.
Muchas de las alteraciones del sistema climático no tienen precedentes y algunas de las modificaciones, como la subida del nivel del mar, serán irreversibles durante miles de años, alertan los expertos del IPCC. https://t.co/Bf5Lm37ztg",accio climatica alimentacio i agenda rural
456,La #DelegacioCatalunyaColombia ha iniciat la seva activitat a Cali per conèixer el context regional en el marc del #ParoNacional de la mà d’organitzacions de #DDHH que componen la Missió de Verificació i Acompanyament a punts de concentració de Cali https://t.co/66C95BzvRC,accio exterior i govern obert
457,"El gobierno SI está haciendo cosas desde el primer día:

✅ Eliminar el impuesto al sol.
✅ Facilitar el autoconsumo.
✅ Proteger al consumidor vulnerable.

#LaEspañaQueHacemos_

?? @Teresaribera en @DebatAlRojoVivo https://t.co/hwb5O9N6YB",accio climatica alimentacio i agenda rural
458,"¿La ministra de Igualdad, @IreneMontero, se encuentra de vacaciones? ¿Qué razón existirá para que no reaccione ante la brutalidad de esta agresion? 

Si no lo hace, quizás debiera explicarlo.

https://t.co/KpQouUvbms",igualtat i feminismes
459,"?? Europa ???? ha respondido a los retos de la crisis y ha demostrado que puede actuar de manera coordinada defendiendo los intereses de 450 millones de habitantes.

Europa se ha reafirmado como un gran proyecto.

?? @salvadorilla 

#ForoPSOEEX
#JuntosMásFuertes
?????? https://t.co/pqTbJFcOQG",accio exterior i govern obert
460,"Reivindicar éxitos. Asumir errores. Pedir confianza. Dar esperanza.

Uno puede sentirse más o menos identificado con el centro-derecha,  pero es innegable el valor que aporta @alejandroTGN al proyecto político del Partido Popular. https://t.co/2ZOt8leQsc",autopromocio
461,"?? @TeoGarciaEgea: “El Gobierno de Sánchez hace con el #MarMenor lo mismo que con las ayudas a los autónomos o la subida de la luz: mirar a otro lado y no aceptar nuestras propuestas”.

https://t.co/QSssIF2Zty",accio climatica alimentacio i agenda rural
462,"""Tots els partits de l'Ajuntament del Prat d'acord i sense escletxes en el NO ?? a l'ampliació de l'aeroport del Prat"" ??

@Mijoler: ""Anirem on calgui per salvar el Delta del Llobregat""

#NiUnPamMés https://t.co/iWGgKshuQq",vicepresidencia i politiques digitals i territori
463,"""Los españoles tenemos derecho a saber de primera mano la postura de España en Afganistán, al igual que en otros países europeos. La envergadura del tema lo merece. No podemos olvidar que España ha desplegado allí sus tropas"". 

??️ @cucagamarra",accio exterior i govern obert
464,"Son unos sociópatas. Pretenden que la sociedad viva atemorizada constantemente para imponer sus políticas ideológicas.

No comas carne, no viajes en avión, no tengas hijos, no uses aire acondicionado... o te cargarás la humanidad.

¡Iros a esparragar! https://t.co/2CmsztTVPT",accio climatica alimentacio i agenda rural
465,"@Flamenquin1 @pilarmarcosd Igual que usted: afortunadamente ninguno. En caso contrario nos hubieran pelado a los dos. 
Para opinar del nazismo usted tampoco lo vivió.  Así que no me toque los cascabeles y dígame algún ejemplo de arte comunista notable.  No podrá.",igualtat i feminismes
466,"Hoy, en Los Ángeles, visitamos el Jet Propulsion Laboratory de la @NASA donde colaboran científicos españoles. La investigación espacial es también un ámbito en el que estrechar la cooperación España-EE.UU. Avanzar en la transformación tecnológica y en I+D+i es nuestra prioridad. https://t.co/4z0nMSdPaL",recerca i universitats
467,Una vergonya que encara ara hi hagi multinacionals disposades a utilitzar l'#homofobia per fer publicitat. I encara més que es pensin que és una ideaca per vendre més. Retirada immediata ja! #snickers https://t.co/HNdNp1dxu2,igualtat i feminismes
468,"?? @ionebelarra : ""Yo creo que en los próximos dos años de legislatura nos jugamos la próxima década. Y es así porque tenemos la oportunidad de invertir una gran cantidad de recursos. No tenemos que volver atrás, sino que tenemos que ser capaces de reconstruirnos"". https://t.co/oP4VBh9Z2k",presidencia
469,"¡Cuánta irresponsabilidad!

15 meses lleva ⁦@pablocasado_⁩ ofreciendo una ley de pandemias que Sánchez rechaza una y otra vez 

??Más de 1 millón de contagios mientras Sánchez bloquea la 'ley de pandemias'

#HayAlternativa al (des)gobierno 
 https://t.co/RfiNPNRr1L",salut
470,"El Gobierno de ????.

✅Está trabajando tanto en la crisis de Afganistán como en la crisis de Haití. 

Ofreciendo toda la ayuda humanitaria y colaboración internacional necesaria. ??

?? @jmalbares en @rtve 

#LaEspañaQueHacemos_ https://t.co/6xrqMQbhLI",accio exterior i govern obert
471,"#11S Ni pactes ni renúncies
La lluita és l'únic camí!✊??
#NiPactesNiRenúncies 

??Primeres convocatòries https://t.co/8EvmmG25nh",presidencia
472,"?? @Aurora_Madaula: “No és acceptable que el braç judicial interfereixi en el @parlamentcat. No podem permetre que inhabilitin la democràcia. Hi hem de ser perquè la gent ens ha votat per fer democràcia”

?? Llegeix l’entrevista a @elpuntavui: https://t.co/sSUF7FNZt4 https://t.co/Twp8mLTczW",justicia
473,"@ViujOlga @Jmassco1 ???? gràcies, Olga per la teva generositat!",autopromocio
474,"El PP sigue insistiendo en demonizar a VOX.

Almeida: ""Necesitamos a más personas como Vivas y menos declaraciones incendiarias"".

¿Qué declaración de @Santi_ABASCAL en Ceuta ha sido incendiaria para ser declarado ""persona non grata"" donde fue el más votado? https://t.co/ECBbUwAfHM",immigracio
475,"➡️ @JGarrigaDomenec explica la solicitud de VOX para la defensa del uso del español además del catalán en los escritos parlamentarios.

La mesa niega la posibilidad de tener escritos parlamentarios en la lengua de la mayoría de los catalanes.

#LideramosLaOposición https://t.co/RKPJtvP4ak",cultura
476,??Les estudiants amb el compromís fèiem una primera passa endavant per posar sobre la taula 5 línies vermelles per començar a sortir de la Crisi Educativa permanent.,educacio
477,"Las leyes y las políticas públicas deben llegar a todas aquellas mujeres a las que nunca han llegado. 

Ayer en los Cursos de Verano de la @unicomplutense https://t.co/INXH1BrArM",igualtat i feminismes
478,"El secretari de Política Lingüística, @VilaFx, va intervenir ahir a la @UCE_CAT on va exposar algunes línies prioritàries de treball: (FIL)",cultura
479,???? Vox exige a Aragonès que explique en el Parlament su ofrecimiento para acoger afganeses de forma «ilimitada» https://t.co/Jb8vytKiMI,immigracio
480,"L’estratègia de vacunació funciona a la perfecció! Els de la nostra generació ja ens podem vacunar!

Vaig demanar cita dijous i avui, la Paloma, ja m’ha vacunat! Moltes gràcies per la feinada que esteu fent, @salutcat! 

Demana cita a https://t.co/IavsexC07s
#joemvacuno https://t.co/KZ7BHmXtjw",salut
481,"Aquesta serà sempre casa teva. Gràcies per fer-nos gaudir com ningú del futbol i per ser el millor de la història amb els colors blaugranes. 

Gràcies per tot, Leo! https://t.co/qUcBS2SVMA",salut
482,"Entre gritos de separatistas y la izquierda he defendido la vida desde la concepción hasta la muerte natural.

Lideramos la disidencia en Cataluña.

Y reconstruiremos todo aquello que el separatismo ha destruido y pretenda destruir. https://t.co/QaSji9LmXm",salut
483,"El otro día afirmé una obviedad, que los altos tribunales de nuestro país están haciéndole oposición al Gobierno. 

El PP, que mantiene secuestrado el Poder Judicial, pide explicaciones. Sería mejor que le preguntaran a la señora Ayuso. ???? https://t.co/e4rwcIBfiX",justicia
484,"⚠️ El Gobierno de Madrid NO ha sido leal.

Ayuso se ha centrado más en atacar al Gobierno de España, que en proteger a Madrid y a sus ciudadanos cuando más falta hacía.
 
Es antipolítica, fanatismo, espectáculo.
Ya sabéis dónde nos lleva esto.
 
?? @salvadorilla

#GobernarEnSerio https://t.co/6P2OGmaxeW",presidencia
485,"Pauta de vacunació completa!
És moment de seguir agraint als increïbles professionals sanitaris que tenim tota la feinada que fan. ?? 

I aquest agraïment ha de vindre en forma de recursos per la sanitat pública i també, cuidant-nos. #YoMeVacuno https://t.co/0jXQLCiUYl",salut
486,"Los territorios no pagan impuestos.❌

??Los pagan las personas residan donde residan, según sus rentas.

Decían que los de Madrid se han ahorrado 16.000 euros, eso es una falacia, solo se han beneficiado unos pocos y no todos.

?? @J_Zaragoza_ en @elprogramadear https://t.co/Fla9to5jDD",economia i hisenda
487,"El suicidio,la amenaza silenciosa tras la pandemia:“Te rompe por dentro”

Diez personas se quitan la vida cada día y España suspende en prevención 

El plan de xoque de #BCN se debe extender a todos los niveles.Un ejemplo el Tlf de Prevención del suicidio https://t.co/VNrwDFdxQE",salut
488,"??[VÍDEO] @junqueras a @tv3cat: ""Els nostres objectius són l’amnistia??️, l’exercici del dret a l’autodeterminació??️, la #RepúblicaCatalana i la implementació dels valors republicans. Una Catalunya independent per servir els seus conciutadans✊"" https://t.co/Kv2VhTFj2m",presidencia
489,Hoy  @VOX_Cataluna hemos presentado ante el Síndic una denuncia por evidente adoctrinamiento separatista en un instituto de Barcelona. Los vídeos no dejan lugar a duda. Exigimos neutralidad política en las aulas de Cataluña y que se sancione al Centro y al profesor activista. https://t.co/Ds0YbIWI8s,educacio
490,"Salvar las vidas de las mujeres es una cuestión de Estado.
No podemos permanecer indiferentes como sociedad ante el machismo, ante una violencia estructural que marca la vida de la mitad de la población por el simple hecho de ser mujeres.

Nos queremos vivas.",igualtat i feminismes
491,"?? Hoy inauguro con el presidente del @EPPGroup, @ManfredWeber, un acto del PP sobre fondos europeos.

?? ¡Sigue mi intervención ???? ??????????????! ?? https://t.co/EFOttAbwBE",accio exterior i govern obert
492,"Gràcies, MHP @LauraBorras. Compteu amb el meu suport. A la vostra disposició per ajudar les diputades afganeses i les seues famílies. https://t.co/kAzAvaUZtT",accio exterior i govern obert
493,No está en peligro el futuro del planeta. Está en peligro la libertad.,accio climatica alimentacio i agenda rural
494,"?? Proponemos limitar el precio de la energía nuclear e hidroeléctrica para bajar de forma INMEDIATA la factura de la luz.

?? Acabar con los beneficios caídos del cielo supondría miles de millones de euros de ahorro para las familias.",empresa i treball
495,"Desde @AndaluciaVOX seguiremos combatiendo el falso ecologismo impuesto por la dictadura progre que únicamente busca reducir las libertades de los ciudadanos y arruinar al pueblo.

Defenderemos en el @ParlamentoAnd iniciativas para proteger el medio ambiente con sentido común. https://t.co/IvzUIbFkAH",accio climatica alimentacio i agenda rural
496,Joining us now: Prime Minister of Spain Pedro Sánchez @sanchezcastejon,autopromocio
497,"El PSC decidirá en septiembre la fecha en la que Illa relevará a Iceta al frente del partido, Daniel G. Sastre @dgsastre @elperiodico https://t.co/RocNRZCUSz",autopromocio
498,"Cuando Yolanda Díaz reforzó las inspecciones en el campo, la patronal no tardó ni un segundo en echarse las manos a la cabeza. Hubo alguno que incluso llegó a amenazar a la ministra. Hoy se demuestra que eran más que necesarias. Trabajo sí, pero digno.

https://t.co/BMQVBGPeCe",empresa i treball
499,"‼ Exigimos que desde el Ministerio del Interior se investigue si este terrorista argelino se encuentra en España.

Nuestro país se ha convertido en un destino preferente para delincuentes y terroristas. Saben que nuestras fronteras son las más fáciles de cruzar. https://t.co/AFCkTeBZJM",interior
500,"?? portaveu adjunt @josep_rius: ""La història no ens permet ser molt optimistes. El PSOE hauria de ser molt valent i tractar l'essència del conflicte, l'exercici d'autodeterminació i, per descomptat, l'amnistia.""

?? Llegeix l'entrevista a @LaVanguardia: https://t.co/aMFYO0A61A",presidencia
501,"Aragonès-ERC i l’Aeroport del Prat:

❌ Salvar la Ricarda
❌ Reduir emissions de CO2
❌ Economia NO només de sol i platja i vols low cost

✅ Gestió catalana

La gestió catalana no serveix de res sense lideratge, és només fer de portaveu d’Aena https://t.co/qXJAvJEJBh",vicepresidencia i politiques digitals i territori
502,"Sánchez está desaparecido y está haciendo el ridículo una vez más desde el punto de vista internacional, en lugar de estar al frente de esta cuestión.

#DóndeEstáSánchez 

?????? https://t.co/kjMbeYMaym",accio exterior i govern obert
503,"Una abraçada ben forta @quimforn i el més sentit condol a tota la família. Perdre una mare és molt dur i, encara més, amb la injusta presó que pateixes. Lluitarem per la vostra llibertat!",presidencia
504,"Ante la 5ª ola del Covid el Gobierno solo ofrece cierres ruinosos, subida de cotizaciones y una ley de seguridad para expropiar bienes en vez de una ley de pandemias.

Frente a esta crisis mal gestionada, seguimos construyendo la alternativa con los sectores productivos afectados https://t.co/5FIlIz4AbT",salut
505,"España lidera el proceso de vacunación. Hoy 28 millones de compatriotas, es decir, más de un 59%, tiene ya la pauta completa y más del 69% tiene al menos una dosis.

Cada vez estamos más cerca de lograr el objetivo del 70% de la población totalmente vacunada.
#YoMeVacunoSeguro https://t.co/qz6lbn16iq",salut
506,"Avui ens ha deixat una dona fantàstica, Marina Sari. Una dona valenta, amb les idees clares i ben precises, que em va ajudar moltíssim quan vaig arribar a l'Alguer perquè en va fer una cartografia ben delimitada de la geografia humana d'aquest país català de Sardenya.
(Fil 1) https://t.co/nPjZCb7Xfa",cultura
507,"Pedimos al Gobierno la declaración de zona catastrófica por el incendio en Ávila, que es el cuarto más grave de la historia de España.

Los vecinos, agricultores y ganaderos afectados necesitan ayudas directas, créditos ICO, exenciones fiscales y compensaciones a sus municipios. https://t.co/h4t9uN7jAs",interior
508,"El Gobierno va a mantener:

✅ El escudo social.
✅ El tratamiento fiscal adecuado para paliar el precio de la factura de la luz de los consumidores.
✅ Impulso programas de techos solares para autoconsumo.

#LaEspañaQueHacemos_

?? @Teresaribera en @DebatAlRojoVivo https://t.co/F3SJ49KctW",presidencia
509,"El procés per crear la vacuna d'Hipra (Amer, La Selva) contra la Covid fa un pas decisiu. 

Bona feina de la indústria i la recerca a Catalunya! https://t.co/D0jzJd9pO8",salut
510,"Existen algunos que llevan el hedonismo a la política y la hacen algo divertido. En España, desde hace años, conviene disfrutar a escondidas. Por si acaso. No es el caso de Alejandro Fernández, líder del PP catalán. Una entrevista de @DanielRamirez99 ?? 
https://t.co/ttjleNphVS",presidencia
511,"Un día como hoy hace 85 años los fascistas fusilaron e hicieron desaparecer a uno de nuestros poetas más colosales. 

Le asesinaron por pensar diferente, por vivir libremente, por hacer pensar y sentir a los demás. 

A él y a tantos que permanecen en cunetas les debemos todo aún.",cultura
512,"?? @ionebelarra: ""Gracias, @JesusCintora, por tu trabajo y por la pluralidad que aporta tu programa a la televisión pública. Espero que a TVE no le pase lo mismo que le está pasando a Telemadrid, que no se tomen decisiones por motivos ideológicos o partidistas"" #LasCosasClaras172 https://t.co/3zPcviZRjj",autopromocio
513,"Es la noticia del verano, pero anticipan que será la del invierno. Y en sus escasas intervenciones el Gobierno solo transmite impotencia y despreocupación. Claro que muy preocupados no parecen por nada, solo por disfrutar de las vacaciones con ⁦@sanchezcastejon⁩ a la cabeza https://t.co/amjKq3tLfi",presidencia
514,"Desde que se anunció mi candidatura he recibido muchísimas muestras de apoyo.
Quiero agradeceros a todas y a todos vuestros mensajes, especialmente, a @ConchaAndreu @ximopuig @AdrianBarbon @JLambanM @mavichina @garciapage @GFVara @F_Armengol @avtorresp 

Muchas gracias /❤️ https://t.co/AlHg01nwmT",autopromocio
